from,to,relation,note
Air handling unit (AHU),AHU casing and panels,under,
Air handling unit (AHU),AHU casing and panels,contains,
Air handling unit (AHU),Thermal-break frame,under,
Air handling unit (AHU),Thermal-break frame,contains,
Air handling unit (AHU),Supply fan,under,
Air handling unit (AHU),Supply fan,contains,
Air handling unit (AHU),Return / exhaust fan,under,
Air handling unit (AHU),Return / exhaust fan,contains,
Air handling unit (AHU),Chilled-water cooling coil,under,
Air handling unit (AHU),Chilled-water cooling coil,contains,
Air handling unit (AHU),DX cooling coil,under,
Air handling unit (AHU),DX cooling coil,contains,
Air handling unit (AHU),Heat-recovery section,under,
Air handling unit (AHU),Heat-recovery section,contains,
Air handling unit (AHU),Air filters,under,
Air handling unit (AHU),Air filters,contains,
Air handling unit (AHU),Dampers,under,
Air handling unit (AHU),Dampers,contains,
Air handling unit (AHU),Drain pan,under,
Air handling unit (AHU),Drain pan,contains,
Air handling unit (AHU),UV-C section,under,
Air handling unit (AHU),UV-C section,contains,
Air handling unit (AHU),Sound attenuator,under,
Air handling unit (AHU),Sound attenuator,contains,
Air handling unit (AHU),AHU control panel,under,
Air handling unit (AHU),AHU control panel,contains,
Air handling unit (AHU),Airflow,under,
Air handling unit (AHU),Airflow,has_parameter,
Air handling unit (AHU),External static pressure (ESP),under,
Air handling unit (AHU),External static pressure (ESP),has_parameter,
Air handling unit (AHU),Casing leakage class,under,
Air handling unit (AHU),Casing leakage class,has_parameter,
Air handling unit (AHU),Casing deflection class,under,
Air handling unit (AHU),Casing deflection class,has_parameter,
Air handling unit (AHU),Thermal transmittance class,under,
Air handling unit (AHU),Thermal transmittance class,has_parameter,
Air handling unit (AHU),Thermal bridging class,under,
Air handling unit (AHU),Thermal bridging class,has_parameter,
Air handling unit (AHU),Filter bypass leakage class,under,
Air handling unit (AHU),Filter bypass leakage class,has_parameter,
Air handling unit (AHU),Specific fan power (SFP),under,
Air handling unit (AHU),Specific fan power (SFP),has_parameter,
Air handling unit (AHU),Sound power level,under,
Air handling unit (AHU),Sound power level,has_parameter,
Fan coil unit (FCU),FCU fan and motor,under,
Fan coil unit (FCU),FCU fan and motor,contains,
Fan coil unit (FCU),FCU coil,under,
Fan coil unit (FCU),FCU coil,contains,
Fan coil unit (FCU),FCU drain pan,under,
Fan coil unit (FCU),FCU drain pan,contains,
Fan coil unit (FCU),FCU filter,under,
Fan coil unit (FCU),FCU filter,contains,
Fan coil unit (FCU),FCU casing,under,
Fan coil unit (FCU),FCU casing,contains,
Fan coil unit (FCU),FCU control valve,under,
Fan coil unit (FCU),FCU control valve,contains,
Fan coil unit (FCU),FCU thermostat / controller,under,
Fan coil unit (FCU),FCU thermostat / controller,contains,
Fan coil unit (FCU),Cooling capacity (total and sensible),under,
Fan coil unit (FCU),Cooling capacity (total and sensible),has_parameter,
Fan coil unit (FCU),FCU external static pressure,under,
Fan coil unit (FCU),FCU external static pressure,has_parameter,
Fan coil unit (FCU),Chilled-water entering / leaving temperature,under,
Fan coil unit (FCU),Chilled-water entering / leaving temperature,has_parameter,
Fan coil unit (FCU),FCU sound level,under,
Fan coil unit (FCU),FCU sound level,has_parameter,
Fan coil unit (FCU),FCU power input,under,
Fan coil unit (FCU),FCU power input,has_parameter,
Air-cooled chiller,Compressor,under,
Air-cooled chiller,Compressor,contains,
Air-cooled chiller,Air-cooled condenser coil,under,
Air-cooled chiller,Air-cooled condenser coil,contains,
Air-cooled chiller,Condenser fans,under,
Air-cooled chiller,Condenser fans,contains,
Air-cooled chiller,Evaporator,under,
Air-cooled chiller,Evaporator,contains,
Air-cooled chiller,Refrigerant,under,
Air-cooled chiller,Refrigerant,contains,
Air-cooled chiller,Electronic expansion valve,under,
Air-cooled chiller,Electronic expansion valve,contains,
Air-cooled chiller,Chiller control panel,under,
Air-cooled chiller,Chiller control panel,contains,
Air-cooled chiller,Integrated pump package,under,
Air-cooled chiller,Integrated pump package,contains,
Air-cooled chiller,Sound attenuation package,under,
Air-cooled chiller,Sound attenuation package,contains,
Air-cooled chiller,High-ambient package,under,
Air-cooled chiller,High-ambient package,contains,
Air-cooled chiller,Cooling capacity at design ambient,under,
Air-cooled chiller,Cooling capacity at design ambient,has_parameter,
Air-cooled chiller,Full-load EER / COP,under,
Air-cooled chiller,Full-load EER / COP,has_parameter,
Air-cooled chiller,Part-load efficiency (IPLV / ESEER),under,
Air-cooled chiller,Part-load efficiency (IPLV / ESEER),has_parameter,
Air-cooled chiller,Ambient operating range,under,
Air-cooled chiller,Ambient operating range,has_parameter,
Air-cooled chiller,Chilled-water temperatures and ΔT,under,
Air-cooled chiller,Chilled-water temperatures and ΔT,has_parameter,
Air-cooled chiller,Power supply,under,
Air-cooled chiller,Power supply,has_parameter,
Air-cooled chiller,Chiller sound power,under,
Air-cooled chiller,Chiller sound power,has_parameter,
Air-cooled chiller,Minimum turndown,under,
Air-cooled chiller,Minimum turndown,has_parameter,
Air handling unit (AHU),EN 1886,under,
Air handling unit (AHU),EN 1886,governed_by,
Air handling unit (AHU),EN 13053,under,
Air handling unit (AHU),EN 13053,governed_by,
Air handling unit (AHU),Eurovent Certified Performance — AHU,under,
Air handling unit (AHU),Eurovent Certified Performance — AHU,governed_by,
Air handling unit (AHU),AHRI 410,under,
Air handling unit (AHU),AHRI 410,governed_by,
Fan coil unit (FCU),AHRI 410,under,
Fan coil unit (FCU),AHRI 410,governed_by,
Air handling unit (AHU),AMCA 210 / ISO 5801,under,
Air handling unit (AHU),AMCA 210 / ISO 5801,governed_by,
Air handling unit (AHU),ISO 16890,under,
Air handling unit (AHU),ISO 16890,governed_by,
Fan coil unit (FCU),ISO 16890,under,
Fan coil unit (FCU),ISO 16890,governed_by,
Air handling unit (AHU),EN 1822,under,
Air handling unit (AHU),EN 1822,governed_by,
Air handling unit (AHU),EN 1751,under,
Air handling unit (AHU),EN 1751,governed_by,
Air handling unit (AHU),EN 308,under,
Air handling unit (AHU),EN 308,governed_by,
Air handling unit (AHU),ASHRAE 62.1,under,
Air handling unit (AHU),ASHRAE 62.1,governed_by,
Air handling unit (AHU),ASHRAE 90.1,under,
Air handling unit (AHU),ASHRAE 90.1,governed_by,
Fan coil unit (FCU),ASHRAE 90.1,under,
Fan coil unit (FCU),ASHRAE 90.1,governed_by,
Air-cooled chiller,ASHRAE 90.1,under,
Air-cooled chiller,ASHRAE 90.1,governed_by,
