# title | kind | lane | forms (;) | meaning | hindi | urdu | roman urdu | in use (from the chapter) | source
# lanes: nouns verbs describing phrases   kinds: word phrase idiom
# ── Class 9 · Beehive ───────────────────────────────────────────────────
Telebook|word|nouns|telebooks|A book that is read on a screen instead of on paper — Asimov's word for it, before e-readers existed.|टेलीबुक (स्क्रीन पर पढ़ी जाने वाली किताब)|ٹیلی بک|Telebook|Margie's grandfather said that when he was a little boy, books were printed on paper — not telebooks.|NCERT Beehive — The Fun They Had
Scornful|word|describing|scornfully;scorn|Full of contempt; showing that you think something is worthless.|तिरस्कारपूर्ण|حقارت آمیز|Haqarat-aamez|Tommy looked at her with very superior eyes — a scornful look at the idea of a man teacher.|NCERT Beehive — The Fun They Had
Nonchalantly|word|describing|nonchalant;nonchalance|In a calm, unconcerned way, as if nothing matters.|बेपरवाही से|بے پروائی سے|Be-parwai se|"Sure they had a teacher, but it wasn't a regular teacher," Tommy said nonchalantly.|NCERT Beehive — The Fun They Had
Loftily|word|describing|lofty|In a proud, superior manner, as if from a great height.|अभिमान से|غرور سے|Ghuroor se|"Because it's not our kind of school, stupid," Tommy said loftily.|NCERT Beehive — The Fun They Had
Prodigy|word|nouns|prodigies|A young person with exceptional talent.|अद्भुत प्रतिभा वाला बच्चा|غیر معمولی صلاحیت والا بچہ|Ghair-mamooli salahiyat wala bachcha|Evelyn Glennie, a percussion prodigy, learned to hear music through her body.|NCERT Beehive — The Sound of Music
Percussion|word|nouns||Musical instruments that are struck or shaken — drums, cymbals, xylophone.|ताल वाद्य|تال ساز|Taal saaz|Evelyn is the world's most sought-after multi-percussionist.|NCERT Beehive — The Sound of Music
Daunting|word|describing|daunt;daunted|Frightening in a way that makes you less confident.|भयभीत करने वाला|حوصلہ شکن|Hausla-shikan|A profoundly deaf girl, learning music: it must have been a daunting task.|NCERT Beehive — The Sound of Music
Auspicious|word|describing|auspiciously|Promising success; a good sign.|शुभ|مبارک|Mubarak|The shehnai is played at auspicious occasions — weddings, temple rituals.|NCERT Beehive — The Sound of Music
Reed|word|nouns|reeds|A thin strip of cane in a wind instrument that vibrates to make sound; also the tall grass it comes from.|नरकट, सरकंडा|نرکل|Narkul|The pungi was a reed instrument with an unpleasant sound, later improved into the shehnai.|NCERT Beehive — The Sound of Music
Fumble|word|verbs|fumbled;fumbling;fumbles|To handle something clumsily; to search awkwardly with the hands.|टटोलना|ٹٹولنا|Tatolna|Kezia fumbled with the buttons, nervous under her father's eye.|NCERT Beehive — The Little Girl
Wretched|word|describing|wretchedly|Miserable; very unhappy or of very poor quality.|दयनीय, बदहाल|بدحال|Badhaal|"That wretched child!" — how the father spoke of Kezia when she tore his speech.|NCERT Beehive — The Little Girl
Nightmare|word|nouns|nightmares|A frightening dream; also any terrible experience.|दुःस्वप्न|ڈراؤنا خواب|Darawna khwab|Kezia's nightmare of the butcher with a knife is what makes her cling to her father at last.|NCERT Beehive — The Little Girl
Freak|word|nouns|freaks;freakish|A person or thing regarded as abnormal or very unusual.|विचित्र, असामान्य|عجیب الخلقت|Ajeeb-ul-khilqat|Einstein's mother thought he was a freak because his head seemed too large.|NCERT Beehive — A Truly Beautiful Mind
Amateur|word|nouns|amateurs|Someone who does something for love, not as a profession; not a professional.|शौकिया|شوقیہ|Shauqiya|Einstein was an amateur violinist all his life.|NCERT Beehive — A Truly Beautiful Mind
Relativity|word|nouns||Einstein's theory that time and space are not absolute but depend on the observer's motion.|सापेक्षता|اضافیت|Izafiyat|The Special Theory of Relativity: time and distance are not absolute.|NCERT Beehive — A Truly Beautiful Mind
Disarmament|word|nouns|disarm|The reduction or removal of weapons, especially by nations.|निरस्त्रीकरण|تخفیفِ اسلحہ|Takhfeef-e-aslaha|Einstein wrote to the UN proposing a world government and campaigned for disarmament.|NCERT Beehive — A Truly Beautiful Mind
Homeopath|word|nouns|homeopathy;homeopathic|A doctor who treats illness with tiny doses of natural substances.|होम्योपैथिक चिकित्सक|ہومیوپیتھ|Homeopath|The narrator, a homeopath, had just started his practice and had little money.|NCERT Beehive — The Snake and the Mirror
Presumption|word|nouns|presumptuous|Behaviour that is too confident or bold; taking something for granted.|धृष्टता, अनुमान|گستاخی، قیاس|Gustakhi|"The result of this careful search was that I found my presumption was true" — he had no chance against the snake.|NCERT Beehive — The Snake and the Mirror
Rascal|word|nouns|rascals|A mischievous or dishonest person, often said half-fondly.|शरारती, बदमाश|بدمعاش، شرارتی|Shararti|The snake — "the rascal" — slithered over the doctor's shoulder and turned to admire the mirror.|NCERT Beehive — The Snake and the Mirror
