kind,title,aliases,summary,body,lane,scope,source_ref
word,Telebook,telebooks; टेलीबुक (स्क्रीन पर पढ़ी जाने वाली किताब); ٹیلی بک; Telebook,"A book that is read on a screen instead of on paper — Asimov's word for it, before e-readers existed.","टेलीबुक (स्क्रीन पर पढ़ी जाने वाली किताब) · ٹیلی بک (Telebook)

**In use**

- Margie's grandfather said that when he was a little boy, books were printed on paper — not telebooks.

*From NCERT Beehive — The Fun They Had.*",nouns,general,NCERT Beehive — The Fun They Had
word,Scornful,scornfully; scorn; तिरस्कारपूर्ण; حقارت آمیز; Haqarat-aamez,Full of contempt; showing that you think something is worthless.,"तिरस्कारपूर्ण · حقارت آمیز (Haqarat-aamez)

**In use**

- Tommy looked at her with very superior eyes — a scornful look at the idea of a man teacher.

*From NCERT Beehive — The Fun They Had.*",describing,general,NCERT Beehive — The Fun They Had
word,Nonchalantly,nonchalant; nonchalance; बेपरवाही से; بے پروائی سے; Be-parwai se,"In a calm, unconcerned way, as if nothing matters.","बेपरवाही से · بے پروائی سے (Be-parwai se)

**In use**

- ""Sure they had a teacher, but it wasn't a regular teacher,"" Tommy said nonchalantly.

*From NCERT Beehive — The Fun They Had.*",describing,general,NCERT Beehive — The Fun They Had
word,Loftily,lofty; अभिमान से; غرور سے; Ghuroor se,"In a proud, superior manner, as if from a great height.","अभिमान से · غرور سے (Ghuroor se)

**In use**

- ""Because it's not our kind of school, stupid,"" Tommy said loftily.

*From NCERT Beehive — The Fun They Had.*",describing,general,NCERT Beehive — The Fun They Had
word,Prodigy,prodigies; अद्भुत प्रतिभा वाला बच्चा; غیر معمولی صلاحیت والا بچہ; Ghair-mamooli salahiyat wala bachcha,A young person with exceptional talent.,"अद्भुत प्रतिभा वाला बच्चा · غیر معمولی صلاحیت والا بچہ (Ghair-mamooli salahiyat wala bachcha)

**In use**

- Evelyn Glennie, a percussion prodigy, learned to hear music through her body.

*From NCERT Beehive — The Sound of Music.*",nouns,general,NCERT Beehive — The Sound of Music
word,Percussion,ताल वाद्य; تال ساز; Taal saaz,"Musical instruments that are struck or shaken — drums, cymbals, xylophone.","ताल वाद्य · تال ساز (Taal saaz)

**In use**

- Evelyn is the world's most sought-after multi-percussionist.

*From NCERT Beehive — The Sound of Music.*",nouns,general,NCERT Beehive — The Sound of Music
word,Daunting,daunt; daunted; भयभीत करने वाला; حوصلہ شکن; Hausla-shikan,Frightening in a way that makes you less confident.,"भयभीत करने वाला · حوصلہ شکن (Hausla-shikan)

**In use**

- A profoundly deaf girl, learning music: it must have been a daunting task.

*From NCERT Beehive — The Sound of Music.*",describing,general,NCERT Beehive — The Sound of Music
word,Auspicious,auspiciously; शुभ; مبارک; Mubarak,Promising success; a good sign.,"शुभ · مبارک (Mubarak)

**In use**

- The shehnai is played at auspicious occasions — weddings, temple rituals.

*From NCERT Beehive — The Sound of Music.*",describing,general,NCERT Beehive — The Sound of Music
word,Reed,"reeds; नरकट, सरकंडा; نرکل; Narkul",A thin strip of cane in a wind instrument that vibrates to make sound; also the tall grass it comes from.,"नरकट, सरकंडा · نرکل (Narkul)

**In use**

- The pungi was a reed instrument with an unpleasant sound, later improved into the shehnai.

*From NCERT Beehive — The Sound of Music.*",nouns,general,NCERT Beehive — The Sound of Music
word,Fumble,fumbled; fumbling; fumbles; टटोलना; ٹٹولنا; Tatolna,To handle something clumsily; to search awkwardly with the hands.,"टटोलना · ٹٹولنا (Tatolna)

**In use**

- Kezia fumbled with the buttons, nervous under her father's eye.

*From NCERT Beehive — The Little Girl.*",verbs,general,NCERT Beehive — The Little Girl
word,Wretched,"wretchedly; दयनीय, बदहाल; بدحال; Badhaal",Miserable; very unhappy or of very poor quality.,"दयनीय, बदहाल · بدحال (Badhaal)

**In use**

- ""That wretched child!"" — how the father spoke of Kezia when she tore his speech.

*From NCERT Beehive — The Little Girl.*",describing,general,NCERT Beehive — The Little Girl
word,Nightmare,nightmares; दुःस्वप्न; ڈراؤنا خواب; Darawna khwab,A frightening dream; also any terrible experience.,"दुःस्वप्न · ڈراؤنا خواب (Darawna khwab)

**In use**

- Kezia's nightmare of the butcher with a knife is what makes her cling to her father at last.

*From NCERT Beehive — The Little Girl.*",nouns,general,NCERT Beehive — The Little Girl
word,Freak,"freaks; freakish; विचित्र, असामान्य; عجیب الخلقت; Ajeeb-ul-khilqat",A person or thing regarded as abnormal or very unusual.,"विचित्र, असामान्य · عجیب الخلقت (Ajeeb-ul-khilqat)

**In use**

- Einstein's mother thought he was a freak because his head seemed too large.

*From NCERT Beehive — A Truly Beautiful Mind.*",nouns,general,NCERT Beehive — A Truly Beautiful Mind
word,Amateur,amateurs; शौकिया; شوقیہ; Shauqiya,"Someone who does something for love, not as a profession; not a professional.","शौकिया · شوقیہ (Shauqiya)

**In use**

- Einstein was an amateur violinist all his life.

*From NCERT Beehive — A Truly Beautiful Mind.*",nouns,general,NCERT Beehive — A Truly Beautiful Mind
word,Relativity,सापेक्षता; اضافیت; Izafiyat,Einstein's theory that time and space are not absolute but depend on the observer's motion.,"सापेक्षता · اضافیت (Izafiyat)

**In use**

- The Special Theory of Relativity: time and distance are not absolute.

*From NCERT Beehive — A Truly Beautiful Mind.*",nouns,general,NCERT Beehive — A Truly Beautiful Mind
word,Disarmament,disarm; निरस्त्रीकरण; تخفیفِ اسلحہ; Takhfeef-e-aslaha,"The reduction or removal of weapons, especially by nations.","निरस्त्रीकरण · تخفیفِ اسلحہ (Takhfeef-e-aslaha)

**In use**

- Einstein wrote to the UN proposing a world government and campaigned for disarmament.

*From NCERT Beehive — A Truly Beautiful Mind.*",nouns,general,NCERT Beehive — A Truly Beautiful Mind
word,Homeopath,homeopathy; homeopathic; होम्योपैथिक चिकित्सक; ہومیوپیتھ; Homeopath,A doctor who treats illness with tiny doses of natural substances.,"होम्योपैथिक चिकित्सक · ہومیوپیتھ (Homeopath)

**In use**

- The narrator, a homeopath, had just started his practice and had little money.

*From NCERT Beehive — The Snake and the Mirror.*",nouns,general,NCERT Beehive — The Snake and the Mirror
word,Presumption,"presumptuous; धृष्टता, अनुमान; گستاخی، قیاس; Gustakhi",Behaviour that is too confident or bold; taking something for granted.,"धृष्टता, अनुमान · گستاخی، قیاس (Gustakhi)

**In use**

- ""The result of this careful search was that I found my presumption was true"" — he had no chance against the snake.

*From NCERT Beehive — The Snake and the Mirror.*",nouns,general,NCERT Beehive — The Snake and the Mirror
word,Rascal,"rascals; शरारती, बदमाश; بدمعاش، شرارتی; Shararti","A mischievous or dishonest person, often said half-fondly.","शरारती, बदमाश · بدمعاش، شرارتی (Shararti)

**In use**

- The snake — ""the rascal"" — slithered over the doctor's shoulder and turned to admire the mirror.

*From NCERT Beehive — The Snake and the Mirror.*",nouns,general,NCERT Beehive — The Snake and the Mirror
word,Orthodox,orthodoxy; रूढ़िवादी; قدامت پسند; Qadamat-pasand,Following the traditional and accepted beliefs strictly.,"रूढ़िवादी · قدامت پسند (Qadamat-pasand)

**In use**

- Kalam's parents were orthodox, but never made caste or religion a wall between people.

*From NCERT Beehive — My Childhood.*",describing,general,NCERT Beehive — My Childhood
word,Segregation,"segregate; segregated; अलगाव, पृथक्करण; علیحدگی; Alahidgi","Keeping groups of people apart, especially by race, caste or religion.","अलगाव, पृथक्करण · علیحدگی (Alahidgi)

**In use**

- The new teacher could not stomach a Hindu priest's son sitting with a Muslim boy — social segregation in a classroom.

*From NCERT Beehive — My Childhood.*",nouns,general,NCERT Beehive — My Childhood
word,Optimism,optimist; optimistic; आशावाद; رجائیت; Rajaiyat,Hopefulness; the belief that good things will happen.,"आशावाद · رجائیت (Rajaiyat)

**In use**

- Kalam's father spoke of faith and optimism when he explained why people came to him with troubles.

*From NCERT Beehive — My Childhood.*",nouns,general,NCERT Beehive — My Childhood
