kind,title,aliases,summary,body,lane,scope,source_ref
equipment,Air handling unit (AHU),AHU; FAHU; fresh air handling unit; air handler,"A factory-built cabinet that filters, cools, dehumidifies and moves air for a building or zone. In the Gulf it is nearly always chilled-water, double-skin, and specified against Eurovent and EN 1886.","What a UAE or KSA specification usually fixes: casing class to EN 1886 (D1/L1/T2/TB2 or better), Eurovent-certified performance, ePM1 filtration, coated coils, plug fans with VFD, and a design ambient of 46 °C (UAE) to 48–50 °C (KSA). A fresh-air unit (FAHU) adds heat recovery because Gulf outdoor air at 46 °C / high humidity is the dominant load.",equipment,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
equipment,Fan coil unit (FCU),FCU; fan coil; terminal unit,"A small terminal unit — fan, chilled-water coil, filter and drain pan — serving one room or zone. Concealed ducted units dominate Gulf hotels, apartments and offices.","Gulf specifications turn on: 2-pipe cooling-only (heating is rare), high external static for ducted units, EC motors for energy codes, Eurovent-certified capacity, insulated drain pans with auxiliary pan, and coils rated for district-cooling water temperatures where Empower or Tabreed supply the site.",equipment,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
equipment,Air-cooled chiller,air cooled chiller; ACCH; packaged chiller,"A packaged outdoor machine that makes chilled water using refrigerant compressors and air-cooled condenser coils — no cooling tower, no water treatment. The Gulf default below about 1,500 TR.","The Gulf changes everything about a chiller selection: capacity is quoted at 46 °C ambient (not the AHRI 35 °C), the unit must keep running at 50–52 °C, condenser coils must survive salt and sand, and the electrical supply differs between the UAE (50 Hz) and KSA (60 Hz). Part-load efficiency (IPLV / ESEER) decides energy-code compliance; full-load EER decides the tender comparison.",refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,AHU casing and panels,,"Double-skin sandwich panels, usually 50 mm, on a thermal-break frame. The casing class decides leakage, deflection and heat gain — all tested to EN 1886.","Gulf norm: 50 mm panels, PU foam or 40–60 kg/m³ mineral wool, outer skin pre-painted galvanised (PPGI) or aluzinc, inner skin galvanised; thermal bridging class TB2 or better so the outside never sweats at 46 °C / 80 % RH. Hospitals ask for stainless inner skin and hygienic (VDI 6022) construction.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Thermal-break frame,,"The extruded aluminium or composite frame that stops heat conducting from the hot skin to the cold one. Without it, condensation forms on the outside of a Gulf AHU.","EN 1886 thermal bridging class TB1–TB5; specifications ask for TB2 or TB1. Check the pentapost frame, not just the panel.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Supply fan,,Moves the air. Modern Gulf AHUs use direct-driven plug (backward-curved) fans with a VFD or EC motor; belt-driven forward-curved fans are legacy.,"Performance to AMCA 210 / ISO 5801; motors IE3 minimum, IE4 common; fan arrays (multiple small plug fans) for redundancy in data halls and hospitals. Specific fan power (SFP) is what Dubai Green Building and ASHRAE 90.1 limit.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Return / exhaust fan,,"The second fan in a full AHU or heat-recovery FAHU, handling return or exhaust air. Same construction as the supply fan.",,airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Chilled-water cooling coil,cooling coil; CHW coil,"Copper tubes, aluminium fins, 6–8 rows in Gulf fresh-air units to take 46 °C / 80 % RH air down to 12–14 °C. Rated to AHRI 410.","Face velocity 2.0–2.5 m/s keeps carry-over off the fins; fin spacing 8–12 fpi; 0.4–0.5 mm tube wall; hydrophilic or epoxy/e-coated fins where coastal. Entering/leaving water 6.7/12.2 °C on chillers, or 5.5/14.5 °C on district cooling — the coil is selected for the water the site actually has.",waterside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,DX cooling coil,direct expansion coil,A direct-expansion coil for AHUs paired with VRV or condensing units instead of chilled water. Daikin sells this as a matched system.,"Multiple circuits (up to four) for capacity staging; refrigerant R-410A or R-32 — the R-32 AHU coils Daikin now offers across Compact, Modular and Professional ranges.",refrigeration,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
component,Heat-recovery section,ERV; energy recovery; rotary wheel; plate heat exchanger,A rotary wheel or plate exchanger that pre-cools incoming fresh air with the building's exhaust. The biggest single energy saver on a Gulf FAHU.,"Enthalpy (sorption) wheels recover latent heat too, which is where the Gulf load is; plate exchangers avoid cross-contamination for hospitals. Efficiency to EN 308; Daikin Modular P uses a counter-flow plate, Modular R a rotary wheel.",airside,general,Manufacturer catalogues and Gulf specifications — verify against the current edition
